County, Type
Aitkin, Rural
Anoka, Urban
Becker, Mix
Beltrami, Town
Benton, Mix
Big Stone, Rural
Blue Earth, Urban
Brown, Town
Carlton, Mix
Carver, Urban
Cass, Town
Chippewa, Town
Chisago, Urban
Clay, Urban
Clearwater, Town
Cook, Rural
Cotton-wood, Town
Crow Wing, Town
Dakota, Urban
Dodge, Urban
Douglas, Town
Faribault, Town
Fillmore, Mix
Freeborn, Town
Goodhue, Mix
Grant, Rural
Hennepin, Urban
Houston, Mix
Hubbard, Town
Isanti, Mix
Itasca, Town
Jackson, Town
Kanabec, Mix
Kandiyohi, Town
Kittson, Rural
Koochiching, Town
Lac Qui Parle, Rural
Lake, Town
Lake of the Woods, Rural
Le Sueur, Mix
Lincoln, Rural
Lyon, Town
Mahnomen, Rural
Marshall, Mix
Martin, Town
McLeod, Mix
Meeker, Town
Mille Lacs, Mix
Morrison, Town
Mower, Mix
Murray, Rural
Nicollet, Mix
Nobles, Town
Norman, Rural
Olmsted, Urban
Otter Tail, Town
Pennington, Town
Pine, Mix
Pipestone, Town
Polk, Mix
Pope, Town
Ramsey, Urban
Red Lake, Rural
Redwood, Town
Renville, Rural
Rice, Mix
Rock, Mix
Roseau, Town
Scott, Urban
Sherburne, Urban
Sibley, Mix
St. Louis, Mix
Stearns, Mix
Steele, Town
Stevens, Town
Swift, Town
Todd, Town
Traverse, Rural
Wabasha, Mix
Wadena, Town
Waseca, Mix
Washington, Urban
Watonwan, Town
Wilkin, Town
Winona, Mix
Wright, Mix
Yellow Medicine, Town
